Gender,Age,Experience,Education Level,Test Score,Selected
Male,28,26,Master,95,0
Male,56,15,Bachelor,46,1
Male,37,6,Diploma,46,1
Female,37,2,Bachelor,40,0
Male,38,4,PhD,94,0
Other,41,15,High School,75,0
Other,58,20,Diploma,55,0
Male,43,7,Diploma,78,1
Other,20,26,High School,72,1
Male,55,20,PhD,90,0
Male,58,14,Bachelor,89,1
Other,55,6,Bachelor,51,0
Male,45,19,PhD,95,1
Other,27,5,Diploma,46,0
Female,41,13,High School,63,0
Male,57,9,High School,68,0
Female,24,10,Master,98,1
Other,40,29,High School,61,0
Female,40,19,Bachelor,88,0
Female,41,4,High School,67,0
Other,48,27,PhD,88,1
Female,39,22,Bachelor,94,1
Female,44,26,Master,63,0
Other,55,5,Master,83,0
Female,22,13,Bachelor,88,1
Other,35,10,PhD,64,0
Female,25,26,Bachelor,67,0
Other,52,15,High School,91,1
Other,34,15,Master,68,1
Female,29,15,Diploma,48,0
Female,56,3,Master,65,0
Female,39,25,PhD,75,0
Male,23,14,Master,92,1
Male,47,12,Bachelor,50,1
Male,19,26,Diploma,96,1
Other,22,26,Diploma,93,1
Female,19,21,High School,59,1
Other,52,20,Master,61,0
Male,22,27,Bachelor,61,1
Female,48,25,PhD,68,1
Other,34,16,Master,78,1
Female,44,28,Bachelor,97,1
Other,48,6,Bachelor,74,0
Female,27,29,High School,65,1
Male,29,25,Master,69,0
Male,35,26,High School,42,0
Female,30,13,Bachelor,46,0
Other,25,15,High School,97,1
Male,52,10,Diploma,79,0
Male,21,28,Diploma,41,0
Male,24,7,PhD,97,0
Female,38,12,High School,52,0
Female,32,18,High School,94,0
Other,51,20,High School,78,0
Other,39,14,Master,61,0
Other,18,17,High School,72,0
Female,23,0,Bachelor,61,1
Female,18,0,High School,60,1
Other,36,10,Master,84,0
Other,44,5,Bachelor,61,0
Female,27,7,Diploma,85,1
Other,31,0,Bachelor,78,0
Male,51,24,Diploma,42,0
Female,58,23,PhD,89,0
Other,49,18,High School,84,0
Female,20,27,Diploma,97,0
Male,33,21,Diploma,42,1
Female,56,20,Master,89,0
Female,50,21,PhD,96,0
Female,22,22,Bachelor,80,1
Female,52,21,PhD,58,0
Male,34,18,High School,41,0
Female,40,16,High School,89,1
Female,43,7,High School,70,0
Other,24,3,Diploma,64,0
Female,58,6,Bachelor,84,1
Other,24,4,Bachelor,77,1
Male,32,15,Master,66,1
Male,47,28,PhD,62,0
Male,37,9,Bachelor,55,0
Male,20,20,Master,60,0
Other,39,18,Bachelor,99,1
Female,24,21,High School,84,0
Male,48,13,High School,69,0
Female,20,5,Master,89,0
Other,34,10,Master,82,1
Other,39,15,Diploma,48,0
Other,54,23,Bachelor,80,0
Male,20,3,Master,91,0
Female,47,5,High School,43,0
Female,41,21,High School,94,0
Female,50,17,Bachelor,77,0
Other,27,17,PhD,51,1
Male,24,0,Bachelor,97,0
Other,33,9,PhD,55,0
Other,49,13,Master,81,0
Female,19,0,High School,71,1
Other,25,25,Master,85,0
Female,32,23,Diploma,62,1
Male,20,26,Diploma,64,1
Female,37,13,Diploma,85,0
Male,51,16,Diploma,60,0
Female,58,26,Master,95,1
Other,21,1,Diploma,80,0
Other,40,18,Master,87,1
Male,25,8,Bachelor,96,1
Male,27,10,PhD,63,0
Male,55,20,Diploma,56,0
Female,22,17,High School,81,0
Female,27,2,Diploma,98,1
Male,43,28,PhD,43,0
Other,33,18,Diploma,65,0
Female,40,23,Bachelor,43,0
Female,34,18,High School,46,0
Female,45,26,Diploma,80,0
Male,35,0,Bachelor,61,0
Male,58,18,Master,85,0
Male,28,21,Master,46,1
Male,51,22,PhD,74,0
Male,32,17,High School,63,0
Other,18,3,Master,86,1
Other,50,6,Diploma,58,0
Male,26,5,Diploma,88,1
Female,34,23,PhD,61,0
Male,32,23,Bachelor,55,0
Other,21,10,Bachelor,46,1
Other,54,2,High School,50,1
Female,23,28,Master,91,0
Other,23,13,Bachelor,90,0
Male,36,5,Bachelor,67,0
Female,40,23,Bachelor,78,1
Male,47,25,Bachelor,57,1
Male,18,21,Bachelor,88,1
Female,26,12,Diploma,93,0
Male,39,0,Master,64,0
Other,18,16,High School,91,0
Male,53,25,Diploma,51,0
Female,42,29,Diploma,63,0
Female,33,27,Master,99,0
Female,43,19,High School,81,0
Male,45,3,PhD,96,1
Female,22,13,Master,77,1
Female,39,22,High School,62,1
Male,31,28,Bachelor,92,1
Other,26,4,PhD,43,1
Male,31,24,Diploma,59,0
Female,33,19,Diploma,41,1
Female,47,4,Diploma,57,0
Male,49,9,High School,68,0
Other,23,10,Diploma,75,1
Female,34,12,Bachelor,83,0
Female,18,5,High School,67,1
Female,35,18,PhD,53,0
Male,28,12,High School,55,1
Female,28,13,High School,92,0
Other,45,4,Master,76,0
Female,29,6,Master,70,0
Female,51,11,PhD,54,0
Other,33,18,Master,45,0
Female,27,22,Master,65,1
Male,56,21,PhD,43,1
Male,25,25,Master,89,0
Male,43,17,Diploma,63,1
Other,59,7,PhD,92,0
Female,59,17,Master,95,0
Male,59,1,Master,70,0
Other,31,9,High School,45,0
Female,26,24,Master,96,1
Other,36,3,Diploma,50,0
Male,51,1,Bachelor,59,0
Male,55,5,Bachelor,47,1
Male,46,28,Diploma,97,0
Other,46,14,Bachelor,41,0
Other,45,26,PhD,99,0
Male,41,26,Master,46,1
Other,45,6,Diploma,82,0
Male,59,3,High School,43,1
Male,29,17,High School,62,0
Female,36,5,Master,63,0
Other,23,16,Master,45,0
Male,19,13,Diploma,67,1
Male,56,23,Diploma,97,1
Other,48,8,PhD,71,0
Female,54,23,Diploma,54,0
Female,46,29,High School,55,1
Male,57,17,PhD,61,0
Other,29,19,Bachelor,58,0
Female,50,10,Diploma,59,0
Other,42,23,PhD,98,0
Other,59,25,Master,95,0
Male,35,29,Diploma,99,1
Female,47,10,Bachelor,76,0
Male,35,2,PhD,66,1
Female,24,29,High School,82,1
Female,32,27,Diploma,45,0
Female,47,6,High School,86,0
Female,22,7,Master,67,0
Female,22,13,Master,97,1
Other,50,3,PhD,90,1
Male,23,29,Bachelor,92,0
Other,57,27,Master,60,0
Female,21,4,Bachelor,83,0
Male,30,10,Diploma,97,1
Female,59,28,High School,82,1
Male,43,17,Diploma,59,0
Other,37,29,High School,45,1
Male,49,6,PhD,67,0
Male,49,12,Bachelor,66,0
Male,54,15,Bachelor,60,1
Male,18,8,Master,94,1
Male,42,10,Master,55,1
Female,42,6,Master,93,1
Male,18,26,Diploma,53,1
Male,20,13,Bachelor,69,1
Other,56,4,Bachelor,92,0
Male,38,29,PhD,63,0
Other,42,10,Master,52,0
Female,38,1,Diploma,41,0
Male,20,23,Bachelor,59,1
Other,57,3,High School,77,1
Other,46,12,PhD,82,0
Female,52,2,Diploma,72,0
Male,39,19,PhD,94,1
Male,40,0,Diploma,93,0
Other,30,24,Master,64,0
Male,51,13,Diploma,87,0
Other,40,6,PhD,73,0
Male,52,23,Diploma,90,0
Other,36,20,High School,68,0
Male,32,14,PhD,77,0
Female,32,19,Bachelor,88,0
Male,43,13,Diploma,47,0
Male,56,8,Bachelor,49,1
Female,20,20,Bachelor,73,0
Male,34,22,Bachelor,84,0
Female,47,6,High School,51,0
Male,45,4,High School,66,1
Other,51,7,Bachelor,80,0
Other,33,16,Master,66,0
Male,58,26,Master,51,1
Male,28,1,Master,49,1
Male,41,14,Diploma,93,0
Other,40,26,Diploma,93,0
Male,42,17,Diploma,63,1
Other,54,3,High School,60,0
Female,30,13,PhD,90,0
Other,36,8,High School,60,0
Other,51,20,PhD,55,1
Female,19,29,PhD,41,1
Other,25,14,High School,74,1
Male,22,18,Bachelor,53,0
Male,28,21,Master,54,1
Other,19,21,High School,50,0
Male,55,11,High School,95,0
Other,49,14,Bachelor,98,1
Male,41,21,Bachelor,83,0
Male,29,2,Bachelor,51,1
Other,55,13,High School,54,0
Male,33,28,Master,94,0
Other,41,20,High School,94,1
Male,58,15,High School,51,1
Male,34,28,PhD,59,0
Female,49,11,Master,57,0
Female,37,21,PhD,81,1
Other,52,7,Master,70,1
Female,47,3,Diploma,46,0
Other,59,3,Diploma,98,0
Female,39,8,Diploma,68,0
Male,48,16,High School,90,1
Other,54,24,Diploma,72,0
Other,41,22,Diploma,58,0
Male,41,9,Master,75,1
Other,30,8,PhD,79,0
Other,42,26,Bachelor,76,0
Female,48,18,High School,67,0
Other,53,23,PhD,86,0
Male,31,20,High School,74,0
Female,37,23,Diploma,43,0
Female,56,16,High School,97,1
Male,45,13,Master,91,1
Male,42,24,Master,96,1
Female,55,6,High School,99,0
Other,28,12,High School,47,1
Female,35,1,Master,68,0
Male,56,2,Diploma,40,0
Female,36,22,Bachelor,85,0
Male,20,8,Diploma,47,0
Female,58,11,PhD,84,1
Other,44,20,Master,97,1
Female,40,26,PhD,62,0
Female,52,10,Bachelor,41,0
Male,55,15,PhD,69,1
Male,30,1,High School,52,1
Male,43,4,High School,92,1
Female,31,5,Master,44,0
Other,52,10,Master,70,1
Male,58,16,Bachelor,98,0
Male,23,10,Diploma,49,0
Female,25,15,Master,54,0
Male,57,6,PhD,65,0
Other,32,2,Bachelor,59,0
Other,25,21,Diploma,55,1
Male,33,27,PhD,51,0
Male,46,7,Bachelor,41,1
Female,51,5,Master,75,1
Other,46,2,High School,97,0
Other,52,19,Master,97,1
Male,27,28,High School,65,0
Female,18,3,Bachelor,81,1
Other,22,13,PhD,40,1
Other,20,10,Bachelor,59,0
Female,56,14,Master,51,1
Female,31,18,Diploma,91,0
Other,44,3,Diploma,65,0
Other,46,14,Diploma,70,0
Female,18,1,PhD,90,0
Other,35,5,PhD,66,0
Male,20,18,PhD,54,1
Male,43,13,High School,90,0
Female,38,11,Diploma,82,0
Female,41,9,Diploma,78,1
Female,37,12,High School,83,0
Male,46,10,Master,61,1
Other,35,20,Master,73,0
Male,20,19,PhD,76,0
Other,50,29,PhD,78,1
Male,35,21,Master,72,1
Other,54,11,Diploma,72,0
Male,38,3,High School,59,1
Female,36,5,Bachelor,68,0
Male,40,9,Diploma,42,1
Other,37,5,Diploma,74,0
Male,41,26,PhD,65,0
Male,36,14,Bachelor,44,0
Male,43,29,Bachelor,97,1
Female,50,5,Bachelor,83,0
Male,49,9,Bachelor,75,0
Female,52,15,Bachelor,72,1
Female,42,28,Diploma,80,0
Male,50,21,PhD,92,0
Male,41,14,Master,86,0
Male,26,5,PhD,77,1
Other,54,1,Diploma,97,0
Male,54,2,Bachelor,60,1
Female,28,12,PhD,49,0
Male,38,1,High School,80,1
Other,34,19,Bachelor,65,0
Male,33,14,Diploma,58,0
Other,22,21,Diploma,57,0
Other,27,1,Bachelor,88,0
Male,30,9,PhD,91,1
Female,23,27,Bachelor,63,0
Other,54,6,PhD,40,1
Male,33,29,Diploma,88,0
Male,23,10,Bachelor,79,1
Female,46,27,PhD,58,1
Other,42,3,High School,89,0
Other,40,21,Master,73,0
Male,28,26,High School,68,0
Male,46,16,PhD,77,0
Female,38,1,Diploma,55,0
Female,43,7,Master,91,0
Other,58,22,PhD,77,1
Other,54,19,PhD,57,0
Male,28,21,PhD,83,0
Other,55,2,Master,73,1
Female,41,7,High School,43,0
Female,34,10,High School,46,0
Male,26,22,Diploma,65,0
Female,25,8,Master,75,0
Female,47,20,Bachelor,41,0
Female,24,1,Diploma,61,0
Female,54,18,PhD,94,1
Male,40,21,Bachelor,64,0
Male,26,0,High School,54,1
Other,36,17,Bachelor,67,0
Female,25,0,Bachelor,64,1
Other,31,28,High School,56,0
Male,45,15,PhD,57,1
Male,52,11,PhD,94,1
Male,24,25,Bachelor,48,1
Male,23,18,Master,82,0
Male,47,7,Bachelor,63,0
Male,54,19,Bachelor,86,1
Male,33,10,Diploma,81,0
Female,18,11,High School,90,0
Other,59,22,Diploma,79,0
Male,34,24,PhD,71,1
Female,24,13,PhD,71,0
Female,52,26,PhD,60,0
Other,22,20,High School,97,1
Male,44,3,PhD,93,1
Other,47,14,Master,48,0
Male,59,8,Master,73,0
Female,52,25,Master,49,0
Female,33,4,Master,90,0
Female,23,24,PhD,56,1
Female,33,25,Diploma,54,0
Other,25,19,Bachelor,40,1
Male,37,9,Master,59,1
Male,48,9,High School,51,0
Other,37,24,Diploma,55,0
Male,26,9,Diploma,75,0
Female,47,12,Diploma,67,0
Male,30,6,Master,76,1
Female,43,26,Master,63,0
Other,19,13,PhD,98,1
Male,58,8,Diploma,43,0
Other,41,19,Diploma,55,0
Male,30,25,Master,96,1
Female,33,12,High School,82,1
Other,35,6,PhD,72,0
Male,33,2,Diploma,88,1
Female,19,9,High School,45,1
Other,18,26,Bachelor,51,1
Other,27,2,Master,50,1
Male,42,15,Master,52,0
Male,31,25,Diploma,92,1
Male,34,9,Bachelor,60,0
Female,35,18,PhD,92,0
Male,24,18,Bachelor,65,0
Other,38,9,Diploma,74,0
Other,46,28,Diploma,72,1
Male,44,19,High School,47,0
Male,21,9,PhD,41,0
Other,29,9,High School,91,0
Female,39,11,High School,94,1
Male,57,17,PhD,97,1
Male,51,21,Master,70,1
Other,43,8,High School,74,0
Male,45,22,Master,46,0
Female,36,27,PhD,88,0
Other,48,4,High School,65,0
Male,31,1,Diploma,63,0
Other,40,25,High School,72,0
Male,34,28,PhD,53,0
Male,40,20,Master,84,0
Male,34,14,High School,45,0
Female,25,12,PhD,50,0
Female,55,24,PhD,56,0
Other,27,16,Master,78,1
Male,47,25,Master,59,0
Male,24,21,PhD,96,0
Female,19,19,Bachelor,71,0
Male,39,21,Diploma,90,0
Female,22,19,PhD,76,0
Male,20,14,Diploma,54,1
Other,26,26,Master,48,0
Male,22,2,High School,70,0
Male,37,1,High School,89,0
Female,46,12,PhD,78,1
Male,23,26,Master,93,0
Male,21,10,Master,86,1
Female,53,8,High School,54,1
Other,38,12,Diploma,79,0
Other,34,1,Master,90,1
Female,32,20,High School,92,0
Female,44,6,Bachelor,74,0
Female,56,6,High School,41,0
Female,36,17,Bachelor,51,1
Female,20,1,Diploma,54,0
Other,45,16,Diploma,78,1
Other,39,29,Bachelor,50,0
Female,23,26,PhD,92,1
Male,48,7,Bachelor,85,1
Female,22,1,High School,70,0
Male,30,25,Bachelor,96,0
Female,51,25,Master,61,0
Female,27,17,High School,54,1
Other,57,12,PhD,91,1
Male,57,15,High School,81,1
Male,45,28,Diploma,83,1
Other,38,24,PhD,92,1
Other,54,6,High School,58,0
Other,53,19,Master,85,1
Other,45,10,Diploma,89,0
Male,30,13,Diploma,89,1
Male,53,22,Master,54,1
Female,18,9,Bachelor,47,1
Female,26,7,Bachelor,42,0
Other,37,3,PhD,47,0
Other,59,21,PhD,80,0
Other,34,3,PhD,95,0
Female,20,3,Diploma,96,0
Female,49,9,Diploma,74,0
Female,52,15,Diploma,54,0
Female,23,18,Master,99,1
Female,23,23,Bachelor,49,0
Female,42,26,High School,70,0
Female,45,9,PhD,89,0
Other,56,0,PhD,48,0
Other,18,16,High School,78,0
Other,57,11,High School,81,1
Other,33,17,High School,85,1
Female,37,13,Diploma,57,0
Male,41,16,Master,68,0
Female,32,20,High School,98,0
Male,27,23,Bachelor,54,0
Other,29,23,Bachelor,58,0
Female,54,26,Bachelor,51,0
Other,52,12,Diploma,69,0
Female,44,13,PhD,71,0
Other,30,23,PhD,69,1
Male,47,20,High School,40,0
Male,20,16,Diploma,62,1
Male,52,18,Master,98,0
Female,29,7,High School,89,0
Male,46,6,PhD,85,0
Female,47,28,PhD,85,1
Male,39,2,High School,95,0
Male,34,4,High School,51,0
Female,44,15,Bachelor,75,0
Female,39,26,Master,55,1
Male,24,25,Bachelor,68,0
Female,28,5,High School,87,0
Male,33,13,Master,95,0
Female,53,8,High School,96,0
Other,39,9,Diploma,44,0
Other,57,26,High School,92,0
Other,54,0,Diploma,92,0
Other,20,24,Bachelor,54,0
Other,52,21,High School,57,0
Male,55,19,Master,48,0
Other,59,17,Master,78,0
Other,58,12,PhD,86,0
Other,55,15,Master,75,0
Other,41,24,Master,82,1
Female,51,4,Diploma,66,1
Male,52,21,Bachelor,77,1
Other,28,17,Diploma,85,0
Other,32,3,Bachelor,80,0
Other,31,0,Diploma,74,0
Male,34,27,Bachelor,97,1
Female,38,7,Diploma,47,0
Male,45,14,Bachelor,80,0
Female,55,5,Diploma,91,0
Other,39,11,PhD,97,0
Other,51,7,PhD,63,0
Male,18,18,Master,54,1
Male,40,3,High School,64,1
Female,49,6,High School,51,0
Female,21,5,Diploma,81,0
Male,58,14,PhD,72,0
Female,23,20,High School,53,0
Male,33,3,PhD,59,0
Female,27,26,Diploma,50,0
Male,52,17,PhD,84,0
Male,41,7,Bachelor,60,0
Male,27,23,Master,46,1
Female,29,22,Master,63,0
Female,50,16,Diploma,55,1
Female,44,14,PhD,70,1
Male,42,25,PhD,52,0
Female,27,10,Master,59,0
Female,42,14,Master,60,1
Male,49,15,Bachelor,53,1
Other,59,20,Diploma,76,0
Male,43,24,Diploma,70,0
Female,21,28,Diploma,45,0
Male,26,9,High School,42,0
Other,44,0,Master,94,0
Male,26,12,High School,65,0
Female,43,5,PhD,72,0
Other,28,24,Diploma,95,0
Female,55,9,PhD,87,0
Other,49,20,Master,64,0
Other,47,15,PhD,76,1
Male,56,6,Master,82,1
Male,26,5,Diploma,69,0
Female,28,24,Master,68,1
Male,40,0,PhD,72,0
Male,34,12,Diploma,92,0
Other,49,9,High School,59,1
Male,28,26,Bachelor,96,1
